"Ebene";"EDV-Code";"Code";"Titel";"korrespondierende Ebene";"korrespondierender EDV-Code";"korrespondierender Code";"korrespondierender Titel";"Korrespondenz-Beschreibung"
5;"G46120";"G 46.12-0";"Tätigkeiten der Großhandelsvermittlung von Brennstoffen, Erzen, Metallen und technischen Chemikalien";4;"G4612";"G 46.12";"Tätigkeiten der Großhandelsvermittlung von Brennstoffen, Erzen, Metallen und technischen Chemikalien";""
5;"G46130";"G 46.13-0";"Tätigkeiten der Großhandelsvermittlung von Holz, Baustoffen und Anstrichmitteln";4;"G4613";"G 46.13";"Tätigkeiten der Großhandelsvermittlung von Holz, Baustoffen und Anstrichmitteln";""
5;"G46140";"G 46.14-0";"Tätigkeiten der Großhandelsvermittlung von Maschinen, technischem Bedarf, Wasser- und Luftfahrzeugen";4;"G4614";"G 46.14";"Tätigkeiten der Großhandelsvermittlung von Maschinen, technischem Bedarf, Wasser- und Luftfahrzeugen";""
5;"G46150";"G 46.15-0";"Tätigkeiten der Großhandelsvermittlung von Möbeln, Einrichtungs- und Haushaltsgegenständen, Eisen- und Metallwaren";4;"G4615";"G 46.15";"Tätigkeiten der Großhandelsvermittlung von Möbeln, Einrichtungs- und Haushaltsgegenständen, Eisen- und Metallwaren";""
5;"G46160";"G 46.16-0";"Tätigkeiten der Großhandelsvermittlung von Textilien, Bekleidung, Schuhen und Lederwaren";4;"G4616";"G 46.16";"Tätigkeiten der Großhandelsvermittlung von Textilien, Bekleidung, Schuhen und Lederwaren";""
5;"G46170";"G 46.17-0";"Tätigkeiten der Großhandelsvermittlung von Nahrungsmitteln, Getränken und Tabakwaren";4;"G4617";"G 46.17";"Tätigkeiten der Großhandelsvermittlung von Nahrungsmitteln, Getränken und Tabakwaren";""
5;"G46180";"G 46.18-0";"Tätigkeiten der Großhandelsvermittlung von sonstigen Waren";4;"G4618";"G 46.18";"Tätigkeiten der Großhandelsvermittlung von sonstigen Waren";""
5;"G46190";"G 46.19-0";"Tätigkeiten der Großhandelsvermittlung von Waren ohne ausgeprägten Schwerpunkt";4;"G4619";"G 46.19";"Tätigkeiten der Großhandelsvermittlung von Waren ohne ausgeprägten Schwerpunkt";""
5;"G46210";"G 46.21-0";"Großhandel mit Getreide, Rohtabak, Saatgut und Futtermitteln";4;"G4621";"G 46.21";"Großhandel mit Getreide, Rohtabak, Saatgut und Futtermitteln";""
5;"G46220";"G 46.22-0";"Großhandel mit Blumen und Pflanzen";4;"G4622";"G 46.22";"Großhandel mit Blumen und Pflanzen";""
5;"G46230";"G 46.23-0";"Großhandel mit lebenden Tieren";4;"G4623";"G 46.23";"Großhandel mit lebenden Tieren";""
5;"G46240";"G 46.24-0";"Großhandel mit Häuten, Fellen und Leder";4;"G4624";"G 46.24";"Großhandel mit Häuten, Fellen und Leder";""
5;"G46310";"G 46.31-0";"Großhandel mit Obst, Gemüse und Kartoffeln";4;"G4631";"G 46.31";"Großhandel mit Obst, Gemüse und Kartoffeln";""
5;"G46320";"G 46.32-0";"Großhandel mit Fleisch, Fleischwaren, Fisch und Fischerzeugnissen";4;"G4632";"G 46.32";"Großhandel mit Fleisch, Fleischwaren, Fisch und Fischerzeugnissen";""
