"Ebene";"EDV-Code";"Code";"Titel";"Kurztitel"
4;"G4684";"G 46.84";"Wholesale of hardware, plumbing and heating equipment and supplies";""
5;"G46840";"G 46.84-0";"Wholesale of hardware, plumbing and heating equipment and supplies";""
4;"G4685";"G 46.85";"Wholesale of chemical products";""
5;"G46850";"G 46.85-0";"Wholesale of chemical products";""
4;"G4686";"G 46.86";"Wholesale of other intermediate products";""
5;"G46861";"G 46.86-1";"Wholesale of paper in bulk";""
5;"G46869";"G 46.86-9";"Wholesale of other intermediate products n.e.c.";""
4;"G4687";"G 46.87";"Wholesale of waste and scrap";""
5;"G46870";"G 46.87-0";"Wholesale of waste and scrap";""
4;"G4689";"G 46.89";"Other specialised wholesale n.e.c.";""
5;"G46890";"G 46.89-0";"Other specialised wholesale n.e.c.";""
3;"G469";"G 46.9";"Non-specialised wholesale trade";""
4;"G4690";"G 46.90";"Non-specialised wholesale trade";""
5;"G46900";"G 46.90-0";"Non-specialised wholesale trade";""
2;"G47";"G 47";"Retail trade";""
3;"G471";"G 47.1";"Non-specialised retail sale";""
4;"G4711";"G 47.11";"Non-specialised retail sale of predominately food, beverages or tobacco";""
5;"G47110";"G 47.11-0";"Non-specialised retail sale of predominately food, beverages or tobacco";""
4;"G4712";"G 47.12";"Other non-specialised retail sale";""
5;"G47120";"G 47.12-0";"Other non-specialised retail sale";""
3;"G472";"G 47.2";"Retail sale of food, beverages and tobacco";""
